dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,2,exemplar_mismatch,r2_realistic,learned_router,2,0.0,0.9382395438160689,0.9274488363715432,0.27972027972027974
adult,7,2,exemplar_mismatch,r2_realistic,learned_router_no_geometry,2,0.3076923076923077,2.3094317872495145,305.3205488233894,0.13986013986013987
adult,7,2,exemplar_mismatch,r2_realistic,learned_router_no_shift,2,0.0,0.9382395438160689,0.9274488363715432,0.27972027972027974
adult,7,2,exemplar_mismatch,r2_realistic,nn_positive_train,2,0.0,0.008186862327750788,0.042835649284234556,
adult,7,2,exemplar_mismatch,r2_realistic,projection_only,2,0.2167832167832168,0.4794315190601587,216.2426501352728,0.2167832167832168
adult,7,2,exemplar_mismatch,r2_realistic,rule_router,2,0.2167832167832168,0.4794315190601587,216.2426501352728,0.2167832167832168
adult,7,2,exemplar_mismatch,r2_realistic,safe_router,2,0.31468531468531474,0.40057215261351864,0.2773723777732868,0.26573426573426573
adult,7,2,exemplar_mismatch,r2_realistic,utility_router,2,0.0,0.9382395438160689,0.9274488363715432,0.27972027972027974
adult,7,2,exemplar_mismatch,r2_realistic,utility_router_no_geometry,2,0.0,0.08705579545687492,0.13441566014048068,0.06293706293706294
adult,7,2,exemplar_mismatch,r2_realistic,utility_router_no_shift,2,0.0,0.9382395438160689,0.9274488363715432,0.27972027972027974
adult,7,2,in_domain,r1_all_mutable,fixed_blend,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,fixed_blend_no_repair,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,knn_mean_k5,2,0.0,1.5740797206747708,1.987616238325776,
adult,7,2,in_domain,r1_all_mutable,learned_alpha,2,0.2097902097902098,0.2255456398233977,209.27300595931607,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,learned_router,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,learned_router_no_geometry,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,learned_router_no_shift,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,nn_positive_train,2,0.0,1.5654537765569723,1.8783018753108935,
adult,7,2,in_domain,r1_all_mutable,projection_only,2,0.0,0.07666695796411171,0.28815851668480263,0.0
adult,7,2,in_domain,r1_all_mutable,rule_router,2,0.0,0.07666695796411171,0.28815851668480263,0.0
adult,7,2,in_domain,r1_all_mutable,safe_router,2,0.26573426573426573,0.572845519486981,0.9390233741739984,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,utility_router,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,utility_router_no_geometry,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r1_all_mutable,utility_router_no_shift,2,0.0,1.1932570719087563,1.5049450308755334,0.2097902097902098
adult,7,2,in_domain,r2_realistic,fixed_blend,2,0.0,0.199676880005498,0.0598047806796167,0.04895104895104896
adult,7,2,in_domain,r2_realistic,fixed_blend_no_repair,2,0.0,0.199676880005498,0.0598047806796167,0.04895104895104896
adult,7,2,in_domain,r2_realistic,knn_mean_k5,2,0.0,0.36527238604892887,0.20302420608958327,
adult,7,2,in_domain,r2_realistic,learned_alpha,2,0.020979020979020935,0.4573225052393375,21.238292419765116,0.09790209790209792
adult,7,2,in_domain,r2_realistic,learned_router,2,0.0,0.8891970631266735,1.082604672977227,0.26573426573426573
adult,7,2,in_domain,r2_realistic,learned_router_no_geometry,2,0.006993006993006978,0.2965249357524109,6.479975399704131,0.04895104895104896
